"County","Date","fatality_cases_per_day","year","month","week"
"Bexar",2021-03-28,NA,2021,3,13
"Bexar",2021-03-29,NA,2021,3,13
"Bexar",2021-03-30,NA,2021,3,13
"Bexar",2021-03-31,NA,2021,3,13
"Bexar",2021-04-01,NA,2021,4,13
"Bexar",2021-04-02,NA,2021,4,14
"Bexar",2021-04-03,NA,2021,4,14
"Bexar",2021-04-04,NA,2021,4,14
"Bexar",2021-04-05,NA,2021,4,14
"Bexar",2021-04-06,NA,2021,4,14
"Bexar",2021-04-07,NA,2021,4,14
"Bexar",2021-04-08,NA,2021,4,14
"Bexar",2021-04-09,NA,2021,4,15
"Bexar",2021-04-10,NA,2021,4,15
"Bexar",2021-04-11,NA,2021,4,15
"Bexar",2021-04-12,NA,2021,4,15
"Bexar",2021-04-13,NA,2021,4,15
"Bexar",2021-04-14,NA,2021,4,15
"Bexar",2021-04-15,NA,2021,4,15
"Bexar",2021-04-16,NA,2021,4,16
"Bexar",2021-04-17,NA,2021,4,16
"Bexar",2021-04-18,NA,2021,4,16
"Bexar",2021-04-19,NA,2021,4,16
"Bexar",2021-04-20,NA,2021,4,16
"Bexar",2021-04-21,NA,2021,4,16
"Bexar",2021-04-22,NA,2021,4,16
"Bexar",2021-04-23,NA,2021,4,17
"Bexar",2021-04-24,NA,2021,4,17
"Bexar",2021-04-25,NA,2021,4,17
"Bexar",2021-04-26,NA,2021,4,17
"Bexar",2021-04-27,NA,2021,4,17
"Bexar",2021-04-28,NA,2021,4,17
"Bexar",2021-04-29,NA,2021,4,17
"Bexar",2021-04-30,NA,2021,4,18
"Bexar",2021-05-01,NA,2021,5,18
"Bexar",2021-05-02,NA,2021,5,18
"Bexar",2021-05-03,NA,2021,5,18
"Bexar",2021-05-04,NA,2021,5,18
"Bexar",2021-05-05,NA,2021,5,18
"Bexar",2021-05-06,NA,2021,5,18
"Bexar",2021-05-07,NA,2021,5,19
"Bexar",2021-05-08,NA,2021,5,19
"Bexar",2021-05-09,NA,2021,5,19
"Bexar",2021-05-10,NA,2021,5,19
"Bexar",2021-05-11,NA,2021,5,19
"Bexar",2021-05-12,NA,2021,5,19
"Bexar",2021-05-13,NA,2021,5,19
"Bexar",2021-05-14,NA,2021,5,20
"Bexar",2021-05-15,NA,2021,5,20
"Bexar",2021-05-16,NA,2021,5,20
"Bexar",2021-05-17,NA,2021,5,20
"Bexar",2021-05-18,NA,2021,5,20
"Bexar",2021-05-19,NA,2021,5,20
"Bexar",2021-05-20,NA,2021,5,20
"Bexar",2021-05-21,NA,2021,5,21
"Bexar",2021-05-22,NA,2021,5,21
"Bexar",2021-05-23,NA,2021,5,21
"Bexar",2021-05-24,NA,2021,5,21
"Bexar",2021-05-25,NA,2021,5,21
"Bexar",2021-05-26,NA,2021,5,21
"Bexar",2021-05-27,NA,2021,5,21
"Bexar",2021-05-28,NA,2021,5,22
"Bexar",2021-05-29,NA,2021,5,22
"Bexar",2021-05-30,NA,2021,5,22
"Bexar",2021-05-31,NA,2021,5,22
"Bexar",2021-06-01,NA,2021,6,22
"Bexar",2021-06-02,NA,2021,6,22
"Bexar",2021-06-03,NA,2021,6,22
"Bexar",2021-06-04,NA,2021,6,23
"Bexar",2021-06-05,NA,2021,6,23
"Bexar",2021-06-06,NA,2021,6,23
"Bexar",2021-06-07,NA,2021,6,23
"Bexar",2021-06-08,NA,2021,6,23
"Bexar",2021-06-09,NA,2021,6,23
"Bexar",2021-06-10,NA,2021,6,23
"Bexar",2021-06-11,NA,2021,6,24
"Bexar",2021-06-12,NA,2021,6,24
"Bexar",2021-06-13,NA,2021,6,24
"Bexar",2021-06-14,NA,2021,6,24
"Bexar",2021-06-15,NA,2021,6,24
"Bexar",2021-06-16,NA,2021,6,24
"Bexar",2021-06-17,NA,2021,6,24
"Bexar",2021-06-18,NA,2021,6,25
"Bexar",2021-06-19,NA,2021,6,25
"Bexar",2021-06-20,NA,2021,6,25
"Bexar",2021-06-21,NA,2021,6,25
"Bexar",2021-06-22,NA,2021,6,25
"Bexar",2021-06-23,NA,2021,6,25
"Bexar",2021-06-24,NA,2021,6,25
"Bexar",2021-06-25,NA,2021,6,26
"Bexar",2021-06-26,NA,2021,6,26
"Bexar",2021-06-27,NA,2021,6,26
"Bexar",2021-06-28,NA,2021,6,26
"Bexar",2021-06-29,NA,2021,6,26
"Bexar",2021-06-30,NA,2021,6,26
"Bexar",2021-07-01,NA,2021,7,26
"Bexar",2021-07-02,NA,2021,7,27
"Bexar",2021-07-03,NA,2021,7,27
"Bexar",2021-07-04,NA,2021,7,27
"Bexar",2021-07-05,NA,2021,7,27
"Bexar",2021-07-06,NA,2021,7,27
"Bexar",2021-07-07,NA,2021,7,27
"Bexar",2021-07-08,NA,2021,7,27
"Bexar",2021-07-09,NA,2021,7,28
"Bexar",2021-07-10,NA,2021,7,28
"Bexar",2021-07-11,NA,2021,7,28
"Bexar",2021-07-12,NA,2021,7,28
"Bexar",2021-07-13,NA,2021,7,28
"Bexar",2021-07-14,NA,2021,7,28
"Bexar",2021-07-15,NA,2021,7,28
"Bexar",2021-07-16,NA,2021,7,29
"Bexar",2021-07-17,NA,2021,7,29
"Bexar",2021-07-18,NA,2021,7,29
"Bexar",2021-07-19,NA,2021,7,29
"Bexar",2021-07-20,NA,2021,7,29
"Bexar",2021-07-21,NA,2021,7,29
"Bexar",2021-07-22,NA,2021,7,29
"Bexar",2021-07-23,NA,2021,7,30
"Bexar",2021-07-24,NA,2021,7,30
"Bexar",2021-07-25,NA,2021,7,30
"Bexar",2021-07-26,NA,2021,7,30
"Bexar",2021-07-27,NA,2021,7,30
"Bexar",2021-07-28,NA,2021,7,30
"Bexar",2021-07-29,NA,2021,7,30
"Bexar",2021-07-30,NA,2021,7,31
"Bexar",2021-07-31,NA,2021,7,31
"Bexar",2021-08-01,NA,2021,8,31
"Bexar",2021-08-02,NA,2021,8,31
"Bexar",2021-08-03,NA,2021,8,31
"Bexar",2021-08-04,NA,2021,8,31
"Bexar",2021-08-05,NA,2021,8,31
"Bexar",2021-08-06,NA,2021,8,32
"Bexar",2021-08-07,NA,2021,8,32
"Bexar",2021-08-08,NA,2021,8,32
"Bexar",2021-08-09,NA,2021,8,32
"Bexar",2021-08-10,NA,2021,8,32
"Bexar",2021-08-11,NA,2021,8,32
"Bexar",2021-08-12,NA,2021,8,32
"Bexar",2021-08-13,NA,2021,8,33
"Bexar",2021-08-14,NA,2021,8,33
"Bexar",2021-08-15,NA,2021,8,33
"Bexar",2021-08-16,NA,2021,8,33
"Bexar",2021-08-17,NA,2021,8,33
"Bexar",2021-08-18,NA,2021,8,33
"Bexar",2021-08-19,NA,2021,8,33
"Bexar",2021-08-20,NA,2021,8,34
"Bexar",2021-08-21,NA,2021,8,34
"Bexar",2021-08-22,NA,2021,8,34
"Bexar",2021-08-23,NA,2021,8,34
"Bexar",2021-08-24,NA,2021,8,34
"Bexar",2021-08-25,NA,2021,8,34
"Bexar",2021-08-26,NA,2021,8,34
"Bexar",2021-08-27,NA,2021,8,35
"Bexar",2021-08-28,NA,2021,8,35
"Bexar",2021-08-29,NA,2021,8,35
"Bexar",2021-08-30,NA,2021,8,35
"Bexar",2021-08-31,NA,2021,8,35
"Bexar",2021-09-01,NA,2021,9,35
"Bexar",2021-09-02,NA,2021,9,35
"Bexar",2021-09-03,NA,2021,9,36
"Bexar",2021-09-04,NA,2021,9,36
"Bexar",2021-09-05,NA,2021,9,36
"Bexar",2021-09-06,NA,2021,9,36
"Bexar",2021-09-07,NA,2021,9,36
"Bexar",2021-09-08,NA,2021,9,36
